name,county,sector,gate_status,score,next_action,source_quality,owner
Agricultural Inputs and Supplements Provider,Northern Ireland,Food & Agribusiness,research_needed,45.3,keep_on_watchlist,live_listing,analyst
Wholesale Food Business,Ireland,Food & Agribusiness,research_needed,45.3,keep_on_watchlist,live_listing,analyst
Wholesale Food Supply Specialist,Northern Ireland,Food & Agribusiness,research_needed,45.3,keep_on_watchlist,live_listing,analyst
Chartered Physiotherapy Clinic In Leinster,Dublin,Healthcare & Life Sciences,research_needed,45.1,keep_on_watchlist,live_listing,analyst
Galway Car Care Limited,Galway,Business Services,research_needed,45.1,keep_on_watchlist,public_profile,analyst
Candle Making Business In Galway City,Galway,Industrials & Engineering,research_needed,45.0,keep_on_watchlist,live_listing,analyst
Galway Oven Cleaning Company Limited,Galway,Business Services,research_needed,44.9,keep_on_watchlist,public_profile,analyst
Independent Electrical Wholesaler,Northern Ireland,Food & Agribusiness,research_needed,44.6,keep_on_watchlist,live_listing,analyst
Lakefront Hospitality Operation,Ireland,Business Services,research_needed,43.8,keep_on_watchlist,live_listing,analyst
Ireland Construction - #1 in Category - Highly Profitable w/ Growth Opportunity,Dublin,Construction & Built Environment,research_needed,43.4,keep_on_watchlist,live_listing,analyst
Restaurant And Café Stylish Fit Out And Strong Brand,Dublin,Construction & Built Environment,research_needed,43.4,keep_on_watchlist,live_listing,analyst
Traditional Turkish Barbers-city Centre Location,Galway,,research_needed,43.3,keep_on_watchlist,live_listing,analyst
Builders Supplies and Hardware,Ireland,Retail & Consumer,research_needed,43.1,keep_on_watchlist,live_listing,analyst
"Car Wash Equity Stake For Sale in Letterkenny, Ireland",Donegal,Automotive,research_needed,43.1,keep_on_watchlist,live_listing,analyst
James Cunningham Heating Contractors (Galway) Limited,Galway,Business Services,research_needed,43.0,keep_on_watchlist,public_profile,analyst
Galway Maintenance Limited,Galway,Business Services,research_needed,42.6,keep_on_watchlist,public_profile,analyst
Galway Specsavers Hearcare Limited,Galway,Business Services,research_needed,42.6,keep_on_watchlist,public_profile,analyst
Desmond Murphy Truck Sales (Galway ) Limited,Galway,Automotive,research_needed,42.4,keep_on_watchlist,public_profile,analyst
J. O'Toole & Sons (Galway) Limited,Galway,Business Services,research_needed,42.4,keep_on_watchlist,public_profile,analyst
Healy Electrical Galway Limited,Galway,Business Services,research_needed,42.2,keep_on_watchlist,public_profile,analyst
Galway Tool & Mould Innovations Limited,Galway,Business Services,research_needed,42.1,keep_on_watchlist,public_profile,analyst
Supplier of Outdoor Recreational Facilities,Ireland,Business Services,research_needed,42.1,keep_on_watchlist,live_listing,analyst
Agricultural Machinery Manufacturer and Supplier,Ireland,Food & Agribusiness,research_needed,41.9,keep_on_watchlist,live_listing,analyst
"Shellfish Processor, Wholesaler and Retailer",Northern Ireland,Food & Agribusiness,research_needed,41.9,keep_on_watchlist,live_listing,analyst
Luxury B&B Business – Prestigious West Of Ireland,Galway,Hospitality & Tourism,research_needed,41.6,keep_on_watchlist,live_listing,analyst
