name,county,sector,gate_status,score,next_action,source_quality,owner
"Nightingale Nursing Home, Lowville, Ahascragh, Ballinasloe, County Galway",Galway,Businesses,investment_ready,76.8,prioritise_for_manual_origination_review,live_listing,analyst
Airflow Air Refrigeration (Galway) Limited,Galway,Industrials & Engineering,origination_ready,67.9,research_and_enrich_before_outreach,public_profile,analyst
Pat Kelly Plumbing and Heating Contractors (Galway) Limited,Galway,Construction & Built Environment,origination_ready,67.6,research_and_enrich_before_outreach,public_profile,analyst
Coen Steel Limited,Galway,Industrials & Engineering,origination_ready,65.5,research_and_enrich_before_outreach,public_profile,analyst
Galway Ideal Installation & Construction Co. Limited,Galway,Industrials & Engineering,origination_ready,64.6,research_and_enrich_before_outreach,public_profile,analyst
Logistics and Warehousing Solutions Provider,Ireland,Food & Agribusiness,origination_ready,64.5,research_and_enrich_before_outreach,live_listing,analyst
"Mortons of Galway, Salthill, Galway., Salthill, Galway City",Galway,facilities,origination_ready,63.0,research_and_enrich_before_outreach,live_listing,analyst
"Fertilizer Company for Sale in Wexford, Ireland",Wexford,Industrials & Engineering,origination_ready,62.8,research_and_enrich_before_outreach,live_listing,analyst
Galway Stationery Supplies Limited,Galway,Food & Agribusiness,origination_ready,62.8,research_and_enrich_before_outreach,public_profile,analyst
Highly-Regarded Building and Civil Engineering,Ireland,Industrials & Engineering,origination_ready,62.8,research_and_enrich_before_outreach,live_listing,analyst
Innovative HVAC Solutions,Ireland,Industrials & Engineering,origination_ready,62.8,research_and_enrich_before_outreach,live_listing,analyst
Integrated Building Support and Safety Solutions,Ireland,Industrials & Engineering,origination_ready,62.8,research_and_enrich_before_outreach,live_listing,analyst
"IT Consultancy Company for Sale in Dublin, Ireland",Dublin,Construction & Built Environment,origination_ready,62.8,research_and_enrich_before_outreach,live_listing,analyst
"Online Marketplace Company for Sale in Dublin, Ireland",Dublin,Construction & Built Environment,origination_ready,62.8,research_and_enrich_before_outreach,live_listing,analyst
Plant and Machinery Leasing,Ireland,Industrials & Engineering,origination_ready,62.8,research_and_enrich_before_outreach,live_listing,analyst
"Profitable Commercial Nurseries Company for Sale in Galway, Ireland",Galway,Commercial Nurseries,origination_ready,62.8,research_and_enrich_before_outreach,live_listing,analyst
"Solar Projects Company for Sale in Dublin, Ireland",Dublin,Industrials & Engineering,origination_ready,62.8,research_and_enrich_before_outreach,live_listing,analyst
Kevin Walsh Plumbing (Galway) Limited,Galway,Construction & Built Environment,origination_ready,62.7,research_and_enrich_before_outreach,public_profile,analyst
Galway Stainless Steel Limited,Galway,Industrials & Engineering,origination_ready,62.5,research_and_enrich_before_outreach,public_profile,analyst
Bellville Building & Construction Galway Limited,Galway,Industrials & Engineering,origination_ready,61.9,research_and_enrich_before_outreach,public_profile,analyst
Spellman Construction Claregalway Limited,Galway,Construction & Built Environment,origination_ready,61.9,research_and_enrich_before_outreach,public_profile,analyst
"Newly Established Fabricated Metal Products Company Seeking Loan in Galway, Ireland",Galway,Industrials & Engineering,origination_ready,61.8,research_and_enrich_before_outreach,live_listing,analyst
Refrigeration Service and Supply Provider,Northern Ireland,Industrials & Engineering,origination_ready,61.8,research_and_enrich_before_outreach,live_listing,analyst
"O'Connor Fuels, 2 St Endas Avenue, Tuam, Galway",Galway,agri_food,origination_ready,60.6,research_and_enrich_before_outreach,live_listing,analyst
Cara Landscapes,Galway,Landscaping / Grounds Services,origination_ready,60.2,research_and_enrich_before_outreach,live_listing,analyst
