name,score,raw_score,evidence_gate_status,target_universe_type,county,sector,gics_industry_group,source_confidence_label,next_action,report_href
"Nightingale Nursing Home, Lowville, Ahascragh, Ballinasloe, County Galway",76.8,76.8,investment_ready,advertised_sale_listing,Galway,Businesses,Health Care Equipment & Services,public profile,prioritise_for_manual_origination_review,ic_packs/name-county-nightingale-nursing-home-lowville-ahascragh-ballinasloe-county-galway-galway/ic_draft.html
Airflow Air Refrigeration (Galway) Limited,67.9,71.9,origination_ready,operating_sme,Galway,Industrials & Engineering,Energy,public profile,research_and_enrich_before_outreach,ic_packs/name-county-airflow-air-refrigeration-galway-galway/ic_draft.html
Pat Kelly Plumbing and Heating Contractors (Galway) Limited,67.6,71.6,origination_ready,operating_sme,Galway,Construction & Built Environment,Capital Goods & Commercial Services,public profile,research_and_enrich_before_outreach,ic_packs/name-county-pat-kelly-plumbing-and-heating-contractors-galway-galway/ic_draft.html
Coen Steel Limited,65.5,69.5,origination_ready,operating_sme,Galway,Industrials & Engineering,Capital Goods & Commercial Services,public profile,research_and_enrich_before_outreach,ic_packs/name-county-coen-steel-galway/ic_draft.html
Galway Ideal Installation & Construction Co. Limited,64.6,68.6,origination_ready,operating_sme,Galway,Industrials & Engineering,Real Estate Management & Development,public profile,research_and_enrich_before_outreach,ic_packs/name-county-galway-ideal-installation-construction-galway/ic_draft.html
Logistics and Warehousing Solutions Provider,64.5,68.5,origination_ready,advertised_sale_listing,Ireland,Food & Agribusiness,"Food, Beverage & Tobacco",live listing,research_and_enrich_before_outreach,ic_packs/name-county-logistics-and-warehousing-solutions-provider-ireland/ic_draft.html
"Mortons of Galway, Salthill, Galway., Salthill, Galway City",63.0,67.0,origination_ready,advertised_sale_listing,Galway,facilities,Software & Services,public profile,research_and_enrich_before_outreach,ic_packs/name-county-mortons-of-galway-salthill-galway-salthill-galway-city-galway/ic_draft.html
"Fertilizer Company for Sale in Wexford, Ireland",62.8,66.8,origination_ready,advertised_sale_listing,Wexford,Industrials & Engineering,Software & Services,live listing,research_and_enrich_before_outreach,ic_packs/name-county-fertilizer-for-sale-in-wexford-ireland-wexford/ic_draft.html
Galway Stationery Supplies Limited,62.8,66.8,origination_ready,operating_sme,Galway,Food & Agribusiness,"Food, Beverage & Tobacco",public profile,research_and_enrich_before_outreach,ic_packs/name-county-galway-stationery-supplies-galway/ic_draft.html
Highly-Regarded Building and Civil Engineering,62.8,66.8,origination_ready,advertised_sale_listing,Ireland,Industrials & Engineering,Real Estate Management & Development,live listing,research_and_enrich_before_outreach,ic_packs/name-county-highly-regarded-building-and-civil-engineering-ireland/ic_draft.html
Innovative HVAC Solutions,62.8,66.8,origination_ready,advertised_sale_listing,Ireland,Industrials & Engineering,Software & Services,live listing,research_and_enrich_before_outreach,ic_packs/name-county-innovative-hvac-solutions-ireland/ic_draft.html
Integrated Building Support and Safety Solutions,62.8,66.8,origination_ready,advertised_sale_listing,Ireland,Industrials & Engineering,Capital Goods & Commercial Services,live listing,research_and_enrich_before_outreach,ic_packs/name-county-integrated-building-support-and-safety-solutions-ireland/ic_draft.html
"IT Consultancy Company for Sale in Dublin, Ireland",62.8,66.8,origination_ready,advertised_sale_listing,Dublin,Construction & Built Environment,Software & Services,live listing,research_and_enrich_before_outreach,ic_packs/name-county-it-consultancy-for-sale-in-dublin-ireland-dublin/ic_draft.html
"Online Marketplace Company for Sale in Dublin, Ireland",62.8,66.8,origination_ready,advertised_sale_listing,Dublin,Construction & Built Environment,Software & Services,live listing,research_and_enrich_before_outreach,ic_packs/name-county-online-marketplace-for-sale-in-dublin-ireland-dublin/ic_draft.html
Plant and Machinery Leasing,62.8,66.8,origination_ready,advertised_sale_listing,Ireland,Industrials & Engineering,"Food, Beverage & Tobacco",live listing,research_and_enrich_before_outreach,ic_packs/name-county-plant-and-machinery-leasing-ireland/ic_draft.html
"Profitable Commercial Nurseries Company for Sale in Galway, Ireland",62.8,66.8,origination_ready,advertised_sale_listing,Galway,Commercial Nurseries,Software & Services,live listing,research_and_enrich_before_outreach,ic_packs/name-county-profitable-commercial-nurseries-for-sale-in-galway-ireland-galway/ic_draft.html
"Solar Projects Company for Sale in Dublin, Ireland",62.8,66.8,origination_ready,advertised_sale_listing,Dublin,Industrials & Engineering,Software & Services,live listing,research_and_enrich_before_outreach,ic_packs/name-county-solar-projects-for-sale-in-dublin-ireland-dublin/ic_draft.html
Kevin Walsh Plumbing (Galway) Limited,62.7,66.7,origination_ready,operating_sme,Galway,Construction & Built Environment,Capital Goods & Commercial Services,public profile,research_and_enrich_before_outreach,ic_packs/name-county-kevin-walsh-plumbing-galway-galway/ic_draft.html
Galway Stainless Steel Limited,62.5,66.5,origination_ready,operating_sme,Galway,Industrials & Engineering,Materials,public profile,research_and_enrich_before_outreach,ic_packs/name-county-galway-stainless-steel-galway/ic_draft.html
Bellville Building & Construction Galway Limited,61.9,65.9,origination_ready,operating_sme,Galway,Industrials & Engineering,Software & Services,public profile,research_and_enrich_before_outreach,ic_packs/name-county-bellville-building-construction-galway-galway/ic_draft.html
Spellman Construction Claregalway Limited,61.9,65.9,origination_ready,operating_sme,Galway,Construction & Built Environment,Capital Goods & Commercial Services,public profile,research_and_enrich_before_outreach,ic_packs/name-county-spellman-construction-claregalway-galway/ic_draft.html
"Newly Established Fabricated Metal Products Company Seeking Loan in Galway, Ireland",61.8,65.8,origination_ready,advertised_sale_listing,Galway,Industrials & Engineering,Consumer Services,live listing,research_and_enrich_before_outreach,ic_packs/name-county-newly-established-fabricated-metal-products-seeking-loan-in-galway-ireland-galway/ic_draft.html
Refrigeration Service and Supply Provider,61.8,65.8,origination_ready,advertised_sale_listing,Northern Ireland,Industrials & Engineering,Software & Services,live listing,research_and_enrich_before_outreach,ic_packs/name-county-refrigeration-service-and-supply-provider-northern-ireland/ic_draft.html
"O'Connor Fuels, 2 St Endas Avenue, Tuam, Galway",60.6,64.6,origination_ready,advertised_sale_listing,Galway,agri_food,Software & Services,public profile,research_and_enrich_before_outreach,ic_packs/name-county-o-connor-fuels-2-st-endas-avenue-tuam-galway-galway/ic_draft.html
