rank,name,county,sector,subsector,target_universe_type,evidence_gate_status,score,source_confidence_label,research_action,why_this_matters,missing_evidence,source_url,report_href
1,Airflow Air Refrigeration (Galway) Limited,Galway,Industrials & Engineering,HVAC & refrigeration,operating_sme,origination_ready,67.9,public profile,Review pack and decide whether to contact.,legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,https://www.solocheck.ie/Irish-Company/Airflow-Air-Refrigeration-Galway-Limited-413918,ic_packs/name-county-airflow-air-refrigeration-galway-galway/ic_draft.html
2,Pat Kelly Plumbing and Heating Contractors (Galway) Limited,Galway,Construction & Built Environment,Plumbing & drainage,operating_sme,origination_ready,67.6,public profile,Review pack and decide whether to contact.,legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,https://www.solocheck.ie/Irish-Company/Pat-Kelly-Plumbing-And-Heating-Contractors-Galway-Limited-74671,ic_packs/name-county-pat-kelly-plumbing-and-heating-contractors-galway-galway/ic_draft.html
3,Coen Steel Limited,Galway,Industrials & Engineering,Steel fabrication & metalwork,operating_sme,origination_ready,65.5,public profile,Review pack and decide whether to contact.,legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,https://www.solocheck.ie/Irish-Company/Coen-Steel-Limited-10660,ic_packs/name-county-coen-steel-galway/ic_draft.html
4,Galway Ideal Installation & Construction Co. Limited,Galway,Industrials & Engineering,Precision engineering & manufacturing,operating_sme,origination_ready,64.6,public profile,Review pack and decide whether to contact.,legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,https://www.solocheck.ie/Irish-Company/Galway-Ideal-Installation-And-Construction-Co-Limited-145800,ic_packs/name-county-galway-ideal-installation-construction-galway/ic_draft.html
5,Galway Stationery Supplies Limited,Galway,Food & Agribusiness,Wholesale distribution,operating_sme,origination_ready,62.8,public profile,Review pack and decide whether to contact.,legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,https://www.solocheck.ie/Irish-Company/Galway-Stationery-Supplies-Limited-328550,ic_packs/name-county-galway-stationery-supplies-galway/ic_draft.html
6,Kevin Walsh Plumbing (Galway) Limited,Galway,Construction & Built Environment,Plumbing & drainage,operating_sme,origination_ready,62.7,public profile,Review pack and decide whether to contact.,legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,https://www.solocheck.ie/Irish-Company/Kevin-Walsh-Plumbing-Galway-Limited-214731,ic_packs/name-county-kevin-walsh-plumbing-galway-galway/ic_draft.html
7,Galway Stainless Steel Limited,Galway,Industrials & Engineering,Steel fabrication & metalwork,operating_sme,origination_ready,62.5,public profile,Review pack and decide whether to contact.,legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,https://www.solocheck.ie/Irish-Company/Galway-Stainless-Steel-Limited-181689,ic_packs/name-county-galway-stainless-steel-galway/ic_draft.html
8,Bellville Building & Construction Galway Limited,Galway,Industrials & Engineering,Precision engineering & manufacturing,operating_sme,origination_ready,61.9,public profile,Review pack and decide whether to contact.,legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,https://www.solocheck.ie/Irish-Company/Bellville-Building-And-Construction-Galway-Limited-153011,ic_packs/name-county-bellville-building-construction-galway-galway/ic_draft.html
9,Spellman Construction Claregalway Limited,Galway,Construction & Built Environment,Civil & groundworks,operating_sme,origination_ready,61.9,public profile,Review pack and decide whether to contact.,legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,https://www.solocheck.ie/Irish-Company/Spellman-Construction-Claregalway-Limited-226832,ic_packs/name-county-spellman-construction-claregalway-galway/ic_draft.html
10,Primary Care (Galway City East Health Centre) Limited,Galway,Healthcare & Life Sciences,GP & primary care practices,operating_sme,origination_ready,59.6,public profile,Review pack and decide whether to contact.,legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,https://www.solocheck.ie/Irish-Company/Primary-Care-Galway-City-East-Health-Centre-Limited-560673,ic_packs/name-county-primary-care-galway-city-east-health-centre-galway/ic_draft.html
11,Grealish Gas & Fuel Galway Limited,Galway,Food & Agribusiness,Wholesale distribution,operating_sme,origination_ready,58.3,public profile,Review pack and decide whether to contact.,legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,https://www.solocheck.ie/Irish-Company/Grealish-Gas-And-Fuel-Galway-Limited-682426,ic_packs/name-county-grealish-gas-fuel-galway-galway/ic_draft.html
12,Greaney Glass Products Limited,Galway,Business Services,Cleaning & facilities management,operating_sme,origination_ready,56.2,public profile,Review pack and decide whether to contact.,legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,https://www.solocheck.ie/Irish-Company/Greaney-Glass-Products-Limited-209437,ic_packs/name-county-greaney-glass-products-galway/ic_draft.html
13,Claregalway Logistics Limited,Galway,Transport & Logistics,Road haulage & freight,operating_sme,origination_ready,55.9,public profile,Review pack and decide whether to contact.,legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,https://www.solocheck.ie/Irish-Company/Claregalway-Logistics-Limited-695286,ic_packs/name-county-claregalway-logistics-galway/ic_draft.html
14,East Galway Quality Tool Hire Limited,Galway,Construction & Built Environment,Civil & groundworks,operating_sme,origination_ready,55.9,public profile,Review pack and decide whether to contact.,legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,https://www.solocheck.ie/Irish-Company/East-Galway-Quality-Tool-Hire-Limited-757242,ic_packs/name-county-east-galway-quality-tool-hire-galway/ic_draft.html
15,Galway Complete Roofing Limited,Galway,Construction & Built Environment,Roofing & cladding,operating_sme,origination_ready,55.9,public profile,Review pack and decide whether to contact.,legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,https://www.solocheck.ie/Irish-Company/Galway-Complete-Roofing-Limited-783248,ic_packs/name-county-galway-complete-roofing-galway/ic_draft.html
16,Galway L-Zinc Roofing Limited,Galway,Construction & Built Environment,Roofing & cladding,operating_sme,origination_ready,55.9,public profile,Review pack and decide whether to contact.,legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,https://www.solocheck.ie/Irish-Company/Galway-L-Zinc-Roofing-Limited-764911,ic_packs/name-county-galway-l-zinc-roofing-galway/ic_draft.html
17,Galway Tool and Mould Limited,Galway,Business Services,Cleaning & facilities management,operating_sme,origination_ready,55.9,public profile,Review pack and decide whether to contact.,legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,https://www.solocheck.ie/Irish-Company/Galway-Tool-And-Mould-Limited-169648,ic_packs/name-county-galway-tool-and-mould-galway/ic_draft.html
18,O'Malley Construction (Claregalway No 1) Limited,Galway,Construction & Built Environment,Civil & groundworks,operating_sme,origination_ready,55.9,public profile,Review pack and decide whether to contact.,legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,https://www.solocheck.ie/Irish-Company/Omalley-Construction-Claregalway-No-1-Limited-765405,ic_packs/name-county-o-malley-construction-claregalway-no-1-galway/ic_draft.html
19,Galway Truck Centre Limited,Galway,Automotive,Truck & commercial vehicle repair,operating_sme,origination_ready,55.5,public profile,Review pack and decide whether to contact.,legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,https://www.solocheck.ie/Irish-Company/Galway-Truck-Centre-Limited-71893,ic_packs/name-county-galway-truck-centre-galway/ic_draft.html
20,Iclean Professional Cleaning Services Limited,Galway,Business Services,Cleaning & facilities management,operating_sme,origination_ready,54.2,public profile,Review pack and decide whether to contact.,legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,https://www.solocheck.ie/Irish-Company/Iclean-Professional-Cleaning-Services-Limited-774964,ic_packs/name-county-iclean-professional-cleaning-services-galway/ic_draft.html
21,Galway Car Care Limited,Galway,Business Services,Cleaning & facilities management,operating_sme,research_needed,45.1,public profile,"Confirm legal identity, trading proof, and source confidence before outreach.",legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,https://www.solocheck.ie/Irish-Company/Galway-Car-Care-Limited-170439,ic_packs/name-county-galway-car-care-galway/ic_draft.html
22,Galway Oven Cleaning Company Limited,Galway,Business Services,Cleaning & facilities management,operating_sme,research_needed,44.9,public profile,"Confirm legal identity, trading proof, and source confidence before outreach.",legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,https://www.solocheck.ie/Irish-Company/Galway-Oven-Cleaning-Company-Limited-513128,ic_packs/name-county-galway-oven-cleaning-galway/ic_draft.html
23,James Cunningham Heating Contractors (Galway) Limited,Galway,Business Services,Cleaning & facilities management,operating_sme,research_needed,43.0,public profile,"Confirm legal identity, trading proof, and source confidence before outreach.",legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,https://www.solocheck.ie/Irish-Company/James-Cunningham-Heating-Contractors-Galway-Limited-295586,ic_packs/name-county-james-cunningham-heating-contractors-galway-galway/ic_draft.html
24,Galway Maintenance Limited,Galway,Business Services,Cleaning & facilities management,operating_sme,research_needed,42.6,public profile,"Confirm legal identity, trading proof, and source confidence before outreach.",legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,https://www.solocheck.ie/Irish-Company/Galway-Maintenance-Limited-468705,ic_packs/name-county-galway-maintenance-galway/ic_draft.html
25,Galway Specsavers Hearcare Limited,Galway,Business Services,Cleaning & facilities management,operating_sme,research_needed,42.6,public profile,"Confirm legal identity, trading proof, and source confidence before outreach.",legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,https://www.solocheck.ie/Irish-Company/Galway-Specsavers-Hearcare-Limited-425217,ic_packs/name-county-galway-specsavers-hearcare-galway/ic_draft.html
26,Desmond Murphy Truck Sales (Galway ) Limited,Galway,Automotive,Truck & commercial vehicle repair,operating_sme,research_needed,42.4,public profile,"Confirm legal identity, trading proof, and source confidence before outreach.",legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,https://www.solocheck.ie/Irish-Company/Desmond-Murphy-Truck-Sales-Galway-Limited-351910,ic_packs/name-county-desmond-murphy-truck-sales-galway-galway/ic_draft.html
27,J. O'Toole & Sons (Galway) Limited,Galway,Business Services,Cleaning & facilities management,operating_sme,research_needed,42.4,public profile,"Confirm legal identity, trading proof, and source confidence before outreach.",legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,https://www.solocheck.ie/Irish-Company/J-Otoole-And-Sons-Galway-Limited-178789,ic_packs/name-county-j-o-toole-sons-galway-galway/ic_draft.html
28,Healy Electrical Galway Limited,Galway,Business Services,Cleaning & facilities management,operating_sme,research_needed,42.2,public profile,"Confirm legal identity, trading proof, and source confidence before outreach.",legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,https://www.solocheck.ie/Irish-Company/Healy-Electrical-Galway-Limited-144510,ic_packs/name-county-healy-electrical-galway-galway/ic_draft.html
29,Galway Tool & Mould Innovations Limited,Galway,Business Services,Cleaning & facilities management,operating_sme,research_needed,42.1,public profile,"Confirm legal identity, trading proof, and source confidence before outreach.",legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,https://www.solocheck.ie/Irish-Company/Galway-Tool-And-Mould-Innovations-Limited-512651,ic_packs/name-county-galway-tool-mould-innovations-galway/ic_draft.html
30,Galway Fuel Supplies Limited,Galway,Business Services,Cleaning & facilities management,operating_sme,research_needed,39.8,public profile,"Confirm legal identity, trading proof, and source confidence before outreach.",legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,https://www.solocheck.ie/Irish-Company/Galway-Fuel-Supplies-Limited-214607,ic_packs/name-county-galway-fuel-supplies-galway/ic_draft.html
31,Tuam Road Galway Service Station Limited,Galway,Business Services,Cleaning & facilities management,operating_sme,research_needed,38.9,public profile,"Confirm legal identity, trading proof, and source confidence before outreach.",legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,https://www.solocheck.ie/Irish-Company/Tuam-Road-Galway-Service-Station-Limited-777192,ic_packs/name-county-tuam-road-galway-service-station-galway/ic_draft.html
32,East Galway Tyres Limited,Galway,Automotive,Tyre & exhaust centres,operating_sme,research_needed,36.2,public profile,"Confirm legal identity, trading proof, and source confidence before outreach.",legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,https://www.solocheck.ie/Irish-Company/East-Galway-Tyres-Limited-738922,ic_packs/name-county-east-galway-tyres-galway/ic_draft.html
33,Galway Electrical Services Limited,Galway,Business Services,Cleaning & facilities management,operating_sme,research_needed,36.2,public profile,"Confirm legal identity, trading proof, and source confidence before outreach.",legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,https://www.solocheck.ie/Irish-Company/Galway-Electrical-Services-Limited-679437,ic_packs/name-county-galway-electrical-services-galway/ic_draft.html
34,Galway Truck and Van Testing Centre Limited,Galway,Automotive,Truck & commercial vehicle repair,operating_sme,research_needed,36.2,public profile,"Confirm legal identity, trading proof, and source confidence before outreach.",legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,https://www.solocheck.ie/Irish-Company/Galway-Truck-And-Van-Testing-Centre-Limited-592056,ic_packs/name-county-galway-truck-and-van-testing-centre-galway/ic_draft.html
35,Galway Catering Company Limited,Galway,Hospitality & Tourism,Event venues & catering,operating_sme,research_needed,39.8,public profile,"Confirm legal identity, trading proof, and source confidence before outreach.",legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,https://www.solocheck.ie/Irish-Company/Galway-Catering-Company-Limited-467610,ic_packs/name-county-galway-catering-galway/ic_draft.html
36,1ST PORT OF GALWAY SEA SCOUTS COMPANY LIMITED BY GUARANTEE,Galway,,Diversified Support Services,operating_sme,research_needed,34.9,verified profile,"Confirm legal identity, trading proof, and source confidence before outreach.",legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,https://services.cro.ie/cws/company/711992/C?format=json,ic_packs/cro-711992/ic_draft.html
37,A & M RESTAURANT LIMITED,Galway,,Diversified Support Services,operating_sme,research_needed,31.8,verified profile,"Fill missing evidence, then re-score for contact readiness.",legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,sector subsector,https://services.cro.ie/cws/company/786116/C?format=json,ic_packs/cro-786116/ic_draft.html
38,A. HARTMANN & SON LIMITED,Galway,,Diversified Support Services,operating_sme,research_needed,31.4,verified profile,"Fill missing evidence, then re-score for contact readiness.",legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,sector subsector,https://services.cro.ie/cws/company/59625/C?format=json,ic_packs/cro-59625/ic_draft.html
39,LAWN-KING LIMITED,Galway,,Diversified Support Services,operating_sme,research_needed,31.4,verified profile,"Fill missing evidence, then re-score for contact readiness.",legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,sector subsector,https://services.cro.ie/cws/company/222180/C?format=json,ic_packs/cro-222180/ic_draft.html
40,126 ARTIST-RUN GALLERY & STUDIOS COMPANY LIMITED BY GUARANTEE,Galway,,Diversified Support Services,operating_sme,research_needed,30.5,verified profile,"Fill missing evidence, then re-score for contact readiness.",legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,sector subsector,https://services.cro.ie/cws/company/698394/C?format=json,ic_packs/cro-698394/ic_draft.html
