rank,priority_bucket,name,county,sector,subsector,target_universe_type,evidence_gate_status,score,raw_score,score_penalty,source_confidence_score,source_confidence_label,what_this_means,research_action,why_this_matters,missing_evidence,next_action,review_owner,source_url,report_href
1,1_operating_sme_priority_sector,Airflow Air Refrigeration (Galway) Limited,Galway,Industrials & Engineering,HVAC & refrigeration,operating_sme,origination_ready,67.9,71.9,4.0,86.0,public profile,Enough evidence to decide whether research or first contact is worthwhile.,Review pack and decide whether to contact.,legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,research_and_enrich_before_outreach,Dylan / analyst,https://www.solocheck.ie/Irish-Company/Airflow-Air-Refrigeration-Galway-Limited-413918,ic_packs/name-county-airflow-air-refrigeration-galway-galway/ic_draft.html
2,1_operating_sme_priority_sector,Pat Kelly Plumbing and Heating Contractors (Galway) Limited,Galway,Construction & Built Environment,Plumbing & drainage,operating_sme,origination_ready,67.6,71.6,4.0,86.0,public profile,Enough evidence to decide whether research or first contact is worthwhile.,Review pack and decide whether to contact.,legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,research_and_enrich_before_outreach,Dylan / analyst,https://www.solocheck.ie/Irish-Company/Pat-Kelly-Plumbing-And-Heating-Contractors-Galway-Limited-74671,ic_packs/name-county-pat-kelly-plumbing-and-heating-contractors-galway-galway/ic_draft.html
3,1_operating_sme_priority_sector,Coen Steel Limited,Galway,Industrials & Engineering,Steel fabrication & metalwork,operating_sme,origination_ready,65.5,69.5,4.0,86.0,public profile,Enough evidence to decide whether research or first contact is worthwhile.,Review pack and decide whether to contact.,legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,research_and_enrich_before_outreach,Dylan / analyst,https://www.solocheck.ie/Irish-Company/Coen-Steel-Limited-10660,ic_packs/name-county-coen-steel-galway/ic_draft.html
4,1_operating_sme_priority_sector,Galway Ideal Installation & Construction Co. Limited,Galway,Industrials & Engineering,Precision engineering & manufacturing,operating_sme,origination_ready,64.6,68.6,4.0,86.0,public profile,Enough evidence to decide whether research or first contact is worthwhile.,Review pack and decide whether to contact.,legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,research_and_enrich_before_outreach,Dylan / analyst,https://www.solocheck.ie/Irish-Company/Galway-Ideal-Installation-And-Construction-Co-Limited-145800,ic_packs/name-county-galway-ideal-installation-construction-galway/ic_draft.html
5,1_operating_sme_priority_sector,Galway Stationery Supplies Limited,Galway,Food & Agribusiness,Wholesale distribution,operating_sme,origination_ready,62.8,66.8,4.0,86.0,public profile,Enough evidence to decide whether research or first contact is worthwhile.,Review pack and decide whether to contact.,legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,research_and_enrich_before_outreach,Dylan / analyst,https://www.solocheck.ie/Irish-Company/Galway-Stationery-Supplies-Limited-328550,ic_packs/name-county-galway-stationery-supplies-galway/ic_draft.html
6,1_operating_sme_priority_sector,Kevin Walsh Plumbing (Galway) Limited,Galway,Construction & Built Environment,Plumbing & drainage,operating_sme,origination_ready,62.7,66.7,4.0,86.0,public profile,Enough evidence to decide whether research or first contact is worthwhile.,Review pack and decide whether to contact.,legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,research_and_enrich_before_outreach,Dylan / analyst,https://www.solocheck.ie/Irish-Company/Kevin-Walsh-Plumbing-Galway-Limited-214731,ic_packs/name-county-kevin-walsh-plumbing-galway-galway/ic_draft.html
7,1_operating_sme_priority_sector,Galway Stainless Steel Limited,Galway,Industrials & Engineering,Steel fabrication & metalwork,operating_sme,origination_ready,62.5,66.5,4.0,86.0,public profile,Enough evidence to decide whether research or first contact is worthwhile.,Review pack and decide whether to contact.,legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,research_and_enrich_before_outreach,Dylan / analyst,https://www.solocheck.ie/Irish-Company/Galway-Stainless-Steel-Limited-181689,ic_packs/name-county-galway-stainless-steel-galway/ic_draft.html
8,1_operating_sme_priority_sector,Bellville Building & Construction Galway Limited,Galway,Industrials & Engineering,Precision engineering & manufacturing,operating_sme,origination_ready,61.9,65.9,4.0,86.0,public profile,Enough evidence to decide whether research or first contact is worthwhile.,Review pack and decide whether to contact.,legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,research_and_enrich_before_outreach,Dylan / analyst,https://www.solocheck.ie/Irish-Company/Bellville-Building-And-Construction-Galway-Limited-153011,ic_packs/name-county-bellville-building-construction-galway-galway/ic_draft.html
9,1_operating_sme_priority_sector,Spellman Construction Claregalway Limited,Galway,Construction & Built Environment,Civil & groundworks,operating_sme,origination_ready,61.9,65.9,4.0,86.0,public profile,Enough evidence to decide whether research or first contact is worthwhile.,Review pack and decide whether to contact.,legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,research_and_enrich_before_outreach,Dylan / analyst,https://www.solocheck.ie/Irish-Company/Spellman-Construction-Claregalway-Limited-226832,ic_packs/name-county-spellman-construction-claregalway-galway/ic_draft.html
10,1_operating_sme_priority_sector,Primary Care (Galway City East Health Centre) Limited,Galway,Healthcare & Life Sciences,GP & primary care practices,operating_sme,origination_ready,59.6,63.6,4.0,86.0,public profile,Enough evidence to decide whether research or first contact is worthwhile.,Review pack and decide whether to contact.,legal or public identity evidence exists; trading proof is available for manual review; a public contact or source route is available,confidence/source check required,research_and_enrich_before_outreach,Dylan / analyst,https://www.solocheck.ie/Irish-Company/Primary-Care-Galway-City-East-Health-Centre-Limited-560673,ic_packs/name-county-primary-care-galway-city-east-health-centre-galway/ic_draft.html
